country,iso3c,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,AFG,3290.058195,3163.130816,1511.757133,-2182.997283,-344.111615,2082.720975,1865.385557,2046.749917,1855.584113,1709.618024,1920.42651,2043.757538,2290.713467,2864.761925,2701.402285,3182.171812,3691.510621,4416.697132,5721.280399,8251.992046,10413.68959,14600.24382,13254.36479,12440.82046,13175.58759,13858.25895,16698.42452,17049.51208,17607.11052,19540.49733,20674.56313,21351.04999
Albania,ALB,4373.137808,6027.278765,3811.067844,-764.3560368,1610.363767,4103.98872,3946.416845,4090.417252,4820.871042,5095.712089,3918.090893,4511.84932,4778.085379,5320.734761,5817.581672,5850.244724,5925.753971,6530.738683,6728.45689,6806.996278,7084.345655,7896.092518,7407.933462,7568.540147,8162.444368,7641.797321,6601.604686,6646.724264,8034.176358,8150.165383,8421.531727,8209.598543
Algeria,DZA,64534.87952,55666.68168,57598.29094,59265.99949,60118.64232,62702.39755,58829.24808,53626.85526,66757.22262,55641.86299,46103.87709,46213.01041,49464.37401,49270.8823,47860.25771,52080.68316,46640.45646,50902.59338,54503.27036,70450.92168,68077.79279,68165.68413,72685.45044,77539.11704,82257.18862,90391.8226,141829.2793,140334.0067,145639.9345,145729.8733,153940.4277,150940.0008
Andorra,AND,739.5976377,749.6219653,36.87153773,-3157.785271,-1462.03239,721.3458536,569.5731416,782.9007296,766.6721527,798.160866,800.1232733,831.1432768,850.361838,896.3671135,968.710994,1005.238796,1016.597505,1039.290417,1023.634256,930.7704505,938.3614556,919.1972798,886.6915434,865.2500747,824.2551897,831.2291115,249.606473,193.1624155,642.884638,637.3330822,646.4746848,643.897638
Angola,AGO,5255.924179,5906.62896,5783.084775,1805.613466,2298.932632,7049.570109,6661.663129,6364.719786,5732.406383,5928.528137,6897.544487,7737.471525,9266.329954,8057.671951,13605.06449,14106.18836,14904.1848,19246.20135,21585.30664,26844.47776,23928.52673,24076.00869,26117.28382,27272.59201,28224.78799,29330.6569,35507.94756,36152.71332,31828.62705,30903.68173,31535.50328,31873.36072
Antigua,ATG,725.50861,724.6055709,68.46743628,-3039.091875,-1461.309046,691.778221,536.5182254,629.4307226,651.4246056,679.626209,649.7202865,681.6363804,694.1007557,741.6466364,766.4586374,798.9578712,856.7317174,907.7419487,901.4741364,862.3314295,860.4334387,829.9894269,813.6417781,823.3989523,823.4726754,818.2786502,412.3848975,424.0764202,737.335343,734.9009026,783.1027606,757.7260303
Argentina,ARG,110535.4095,125042.3102,130902.4389,116231.0701,131871.6846,134759.3734,144357.9113,151568.1816,155700.0284,155979.6938,158895.7919,147118.6888,119592.7716,129987.1098,143952.1548,151670.8,162198.4256,176224.1148,182259.512,176024.4414,186821.9462,198149.8689,202400.7514,210396.616,207033.4628,212786.6739,210880.3075,207079.2045,197537.8766,196747.5218,201591.8883,197797.9996
Armenia,ARM,27761.74295,21339.04953,22923.99911,5391.00145,7364.124105,11036.2295,7549.21462,7732.86395,6404.350019,4725.191413,3537.520487,3594.789655,3247.416384,3594.597557,3884.170103,4491.729886,4829.046439,5856.095013,6697.183249,5660.296213,5673.52015,6346.967839,7098.607845,6949.14623,6919.610691,7431.736023,6932.511928,6826.523438,8650.975208,9018.152345,9521.418982,9747.339733
Aruba,ABW,1963.038558,1910.231388,1038.151307,-1634.180844,-177.5032194,1657.247238,1565.710691,1799.621636,1749.344581,1762.831611,2118.059278,2140.73208,2211.313393,2312.682052,2238.536991,2305.941558,2381.12257,2476.506072,2355.98937,2430.494504,2360.975778,2398.987618,1652.288095,1315.992393,1286.516168,1281.134366,576.5077933,528.9320122,1091.774962,1111.013522,1311.290823,1246.630309
Australia,AUS,281203.1675,280150.0429,269093.5446,235389.5503,265186.0683,298604.4802,303869.8126,297179.1465,327714.1747,335720.1105,338190.9636,335902.35,345340.3159,369425.7656,399825.8851,393809.5656,401556.5302,425724.2723,402387.8298,412812.0388,423599.9048,433779.1672,440411.3407,428540.4188,424468.7139,432035.7435,408467.8037,418934.8613,401677.3679,398111.7414,417377.8258,401818.1339
Austria,AUT,84356.63957,89022.56126,84431.59752,68447.07028,77391.37626,91603.04259,94142.11647,93200.89311,92579.97584,90775.62155,90766.03306,92876.58938,93583.34939,101534.824,104333.3542,105503.9885,106059.6803,105487.458,105154.6116,96894.30967,101422.2943,100700.9268,98383.04815,97889.65648,93660.72688,95019.91937,22334.33627,24436.7916,97331.79173,95304.4294,101224.6818,98161.33575
Azerbaijan,AZE,56341.77625,51051.18107,40733.84314,31882.39056,29088.34656,34367.11677,28734.63887,26443.84985,25905.82808,24934.94637,24449.55046,24213.24447,24628.8663,27356.6135,28565.80432,29324.18508,30758.64068,24463.00716,29172.75499,28244.583,27766.46592,29105.88742,30530.31473,34695.09906,35944.89753,38929.05954,43998.02394,41584.48639,44426.16007,45262.03042,46499.63383,47179.89145
Bahamas,BHS,3805.244616,3630.144482,2850.115551,-418.865932,1347.124986,3507.351495,3252.936318,3128.347173,3356.695068,3319.052646,3393.653088,3266.993029,3188.224495,3101.318507,3281.114525,3389.359453,3480.328983,3480.905708,3258.625141,3286.1448,3298.995844,3557.288045,3646.669573,4393.722347,4050.27881,4026.792401,3191.670483,3340.48602,3418.770912,3442.576391,3704.781722,3524.541949
Bahrain,BHR,12927.4396,12664.5114,11220.86472,10593.59354,12462.00624,14536.47358,15200.91466,16676.03708,17706.68333,17325.6539,17100.0775,13641.99276,15190.88802,15650.47557,15957.31997,17457.36918,16565.54307,21410.12003,22900.2916,23048.57451,23498.38984,23276.38166,22333.81394,26125.85753,25597.19041,20954.58287,16678.81616,16795.33545,19753.85274,19060.55444,19099.72979,18596.0462
Bangladesh,BGD,18387.13972,18060.23305,18162.29369,14149.72496,17874.16578,25124.5743,27216.54758,28335.15125,27793.00706,29702.50226,31920.68912,36351.41122,37356.46561,40313.50194,42572.07788,44581.28189,48379.58205,49987.8923,53630.67384,57326.60713,62201.95446,68336.73203,73535.31538,77288.09521,81417.80975,91033.69689,106034.9829,110121.6023,127138.4812,132018.0775,138806.1256,143929.2573
Barbados,BRB,1943.391499,2048.605783,1032.386858,-1918.773547,-557.5620785,1621.339893,1446.664988,1568.769346,1819.073889,1913.891069,1852.807761,1883.470525,1867.55115,1952.294778,2047.269087,2157.834961,2221.02844,2220.814389,2409.612018,2334.116235,2199.020791,2234.90791,2190.392223,2177.586689,2002.41536,2001.135457,1324.997735,1251.270716,1515.3615,1535.147684,1617.472431,1575.378502
Belarus,BLR,103.0830343,117.0093716,-89.70392462,-786.7139056,-398.5192463,79.35102752,53.62925758,85.87125138,83.08683342,77.34883269,79.11501187,78.85478699,78.01075289,73.4614347,75.28333615,73.78992731,89.01476694,92.6099495,96.96015208,101.1953778,103.4180014,70.11103707,279.3053744,369.8569786,137.3375392,132.5014906,-14335.70434,-20242.00742,28381.32966,27373.45191,28338.36363,27675.21609
Belgium,BEL,108299.9009,111638.3428,109733.1283,100259.6047,108871.274,117400.9476,117725.564,108754.1029,115268.4807,110600.5723,114424.8482,110448.4893,111101.1669,113663.1095,115182.7173,113185.3405,113481.3097,112857.8437,115427.8419,106238.0926,106566.2124,98941.42938,98267.46943,98220.7815,93879.84356,96478.41996,108362.0569,109914.4256,119434.7266,115254.0777,121979.8713,116686.5053
Belize,BLZ,593.8355878,643.4280159,83.7646677,-2750.427066,-1255.418584,581.4632035,381.1034937,602.5170067,533.475236,531.5888529,588.0950504,657.7616521,649.6219567,670.9973189,626.5660711,653.9743761,678.4002015,722.6098806,707.5886143,818.7972526,758.8160107,808.7182428,711.2874223,762.7713689,733.7253957,828.509483,529.4394242,484.4955931,686.868402,697.350346,748.0455652,718.5308356
Benin,BEN,1205.483555,1339.287463,660.777453,-3054.157218,-763.2672174,1749.161938,1488.349186,1634.455119,1577.207611,1929.285837,1843.077608,2127.751664,2409.058024,2800.215262,2997.516033,2903.036088,4248.379428,4883.550585,4872.66459,5097.170012,5522.000806,5705.624973,5873.222919,6345.596312,6802.112816,7070.01313,6406.607769,6499.14305,7870.036506,7905.265249,8075.963377,8296.056518
Bermuda,BMU,1240.429673,1060.24783,377.602549,-7403.31207,-3656.133451,596.2403486,373.6839914,545.1698835,458.0659374,466.0383602,480.6489824,511.7904506,579.7844501,628.726697,739.7232894,768.8766146,886.0726616,898.4885069,913.9940031,857.2434675,895.0923681,939.7924458,843.8421551,817.6427699,799.4598071,774.2871468,-2304.785284,-2507.34074,771.962025,751.070452,780.7412563,781.488384
Bhutan,BTN,364.4245286,389.0796207,-219.3915158,-3377.137049,-1718.779006,364.175291,251.1431524,526.2972517,479.5304558,488.2753065,451.8570213,498.8731473,549.8997969,534.6570868,507.1770447,580.0013583,566.2012877,580.6399071,636.6164175,818.0913922,1025.592992,1195.765812,1263.444011,1325.141216,1351.821167,1309.539277,774.4282258,688.7363281,1856.783899,1983.17612,2050.477334,2146.911309
Bolivia,BOL,5940.956703,6343.476734,5972.015542,1857.48841,5146.779033,8373.139564,8250.379743,8808.964257,8732.850573,7866.379514,7624.297226,6867.434505,8600.486291,8876.461819,8580.04301,9339.499466,10843.56496,9161.659348,9768.307535,10776.18186,11234.93794,11874.25809,13546.57994,14136.36948,14994.68014,14215.69197,17362.7528,17787.55162,20137.58639,19320.28548,20005.13411,20349.53523
Bosnia and Herzegovina,BIH,27841.34628,25605.65577,9331.319074,1092.031034,3578.071794,5342.810443,7017.943949,9253.893585,13008.96419,13107.90692,13944.53821,14736.77765,15675.28476,15847.95257,16635.81513,15242.87453,17322.89728,17359.16248,19160.76943,19246.07045,19180.57208,20814.30147,19057.41813,18716.386,20563.10287,19472.95572,18424.24711,18342.91802,19956.51339,20131.00708,21090.05636,20959.60059
Botswana,BWA,5857.044061,6214.581396,5607.719437,2675.992014,4376.525935,7184.966305,6311.851861,7127.356411,7726.631601,7434.722732,7857.930468,8087.271085,8224.69546,9040.727143,9645.867899,9209.97579,9032.438793,9838.428624,10459.28206,10472.46588,11355.33827,11415.90458,10976.66595,12838.91121,14454.82034,14358.46342,10396.7003,10273.75991,11546.66851,11640.53467,12330.65432,12281.20343
Brazil,BRA,234664.3854,243844.5254,235217.5212,240855.576,271277.3073,314300.7045,335574.0767,396626.0332,352312.81,353446.8318,380090.603,376456.5705,370357.8848,364565.1843,376302.2197,393998.4978,408782.8486,439068.7267,474446.7248,454882.7878,519958.5716,545228.8259,563738.4046,587846.8157,587058.8482,582717.9246,516381.089,528984.4748,535597.0764,537734.1455,570660.0763,576110.4272
British Virgin Islands,VGB,301.0893662,239.1673802,-240.2011005,-2808.534751,-1476.516078,280.8142251,147.7593015,315.1848902,292.183053,310.3200994,313.4982504,331.1823143,330.6727576,322.338839,323.9740649,341.5152692,360.1957569,363.0814933,357.3733923,351.7379583,369.9188081,436.6222073,421.2383522,406.4804858,389.417491,396.631006,73.41545624,61.54388967,227.3023421,222.3238343,226.2433543,224.32817
Brunei,BRN,3789.137444,3270.354792,2838.771937,-816.8446263,1010.215766,3246.846399,3222.00092,3611.330725,3611.93279,2736.275895,2797.910116,2742.685292,2686.392632,2730.362626,2844.509665,2738.304237,2609.739544,4166.864728,3887.695161,4116.123587,3987.625903,4413.599266,4398.607507,4017.588441,4372.652714,4546.823381,5661.452539,5754.738307,6191.571539,6444.477747,6713.657065,6906.432082
Bulgaria,BGR,62567.20716,36810.48646,36540.14472,39083.99845,36392.92661,39884.06591,34124.33242,32162.89204,33816.50492,32547.05514,30727.95641,35052.30178,33724.02799,38429.53444,38832.19484,40447.96361,40480.28515,44346.46621,43486.56641,38635.83408,37281.01669,38919.67043,36059.9147,31755.25284,32439.85397,34634.96116,42450.29625,43408.69239,48291.06485,47314.68566,47892.01068,47159.13578
Burkina Faso,BFA,1464.763968,1427.722942,484.0862915,-5249.788453,-2180.816605,1080.61512,964.2050498,1267.352112,1209.333458,1251.549043,1286.248141,1305.053435,1324.353994,1500.389953,1589.380971,1630.094964,1967.748798,2358.722813,2760.787841,2917.098126,2945.570292,3450.635221,3827.933953,4325.803621,4081.212713,3902.785889,2343.463331,2204.859488,5167.963112,5384.43684,5655.113068,5873.230909
Burundi,BDI,575.8118481,600.7375309,-196.2297972,-4933.234052,-2557.582105,498.9779385,280.3802741,502.1741956,460.8575292,448.9963029,457.8107537,410.632422,414.7303606,373.5810042,418.9226518,422.5060175,478.3824604,474.6597395,501.3274533,565.3955661,609.5822628,649.0873112,661.0488265,684.0438833,812.3418504,831.7917331,26.4360914,-80.63103334,979.5243282,1076.597846,1165.877953,1189.287441
Cambodia,KHM,1560.940339,1637.066564,998.8837962,-1841.102464,271.8636589,2870.805136,2703.606324,2685.338124,2881.84843,2999.525624,3059.741338,3339.499165,3410.529326,3789.63589,4084.466183,4603.616498,5181.854702,5883.442469,6415.099747,6874.785346,7539.323418,8089.857551,8299.726751,8544.470793,9302.145108,9382.388157,12186.97853,12461.44553,14034.91234,14627.81193,15573.22003,16199.893
Cameroon,CMR,5151.749593,4447.214366,6186.132161,2696.479867,8878.337571,11523.86793,11346.19049,10155.05454,10243.49123,10135.57481,10016.51715,9952.701071,9518.021209,9928.385919,10455.04367,10399.62753,10581.03672,12421.89477,12700.51705,14027.94371,13285.13563,12128.27557,12528.11431,13402.24201,13505.23494,14289.15215,15243.4636,14805.2075,16706.16993,17189.07174,17802.76141,18159.29378
Canada,CAN,491867.0951,486328.5236,487127.7027,472208.737,485611.2384,492934.7687,497482.0428,508453.6176,486809.2352,492733.1907,506711.3353,498818.3765,506032.9968,542699.789,545600.1761,547440.8876,560581.3332,591175.4736,579009.6998,570758.3426,595716.4923,603908.5079,608986.0375,611443.6368,590131.5408,627776.8819,582495.5766,582545.3165,580151.5663,570088.3116,590086.5855,576121.9547
Cape Verde,CPV,388.8675163,388.1953249,-288.8969698,-3582.414235,-1926.963025,370.2610476,194.6925048,395.3200675,355.3187112,397.0671515,388.5845748,434.8415889,498.7519295,541.219738,594.2046087,699.5161338,758.174421,821.4282092,806.7378752,851.0273574,874.2709836,962.1247764,823.2195147,792.8903577,757.3751523,951.7436461,337.7373296,313.4361807,761.7546559,806.9853657,850.9868372,857.6691254
Cayman Islands,CYM,372.8623709,365.2239202,-317.4675675,-3504.654206,-1818.956497,311.386063,154.4265738,333.9358279,307.9541788,317.6452691,306.7210502,324.3885948,329.3369415,351.9012459,353.5248616,364.332062,369.3438627,374.9851937,364.3480965,349.7479062,345.711645,351.9381623,334.3290501,337.0639605,320.5840343,305.2487751,299.3212162,249.730548,674.0887655,645.5984663,667.5588188,653.5153443
Central African Republic,CAF,611.6949536,599.6309589,-132.3864317,-4093.901372,-1804.764361,519.8162856,324.5301019,533.5030309,476.969628,481.2872522,451.1971307,462.1544695,458.3931388,455.638042,488.3956335,515.9396207,535.5476455,567.2564897,587.3650976,590.596953,613.7011281,641.8515097,644.6626699,620.2528205,600.6449555,651.344022,318.2419761,261.8395038,838.6999039,850.6758417,873.194736,893.4572728
Chad,TCD,480.9664866,350.3018891,-355.7275655,-4256.462891,-2032.887402,338.9180026,173.1565378,433.2035131,357.8088381,366.2018482,362.7643493,411.0237819,461.829134,790.6081617,782.1275473,797.3446729,820.1534933,932.7187952,909.5611882,899.5780949,935.4156819,999.8741601,981.9638032,1144.866102,1135.515117,1191.303348,1063.331247,855.7948436,2354.456984,2338.319405,2442.332784,2472.174934
Chile,CHL,31893.92899,31802.96531,32892.50005,28009.56479,34928.23862,44292.34606,50213.79967,54779.09799,54406.35757,55659.08044,53494.40546,49132.02361,51395.49141,52012.90755,55306.16987,58328.99944,61105.02328,66282.77511,70066.76062,64865.48051,72203.00959,80547.2835,84295.5249,87365.67964,87989.30604,90732.03403,89875.0614,89806.5271,102058.0751,107811.9424,118030.8741,119299.1654
China,CHN,2036367.539,2240195.617,2334112.449,2435415.36,2456105.737,2671872.593,2875976.005,2816328.479,2736468.947,2755873.034,2761931.586,2930089.304,3214169.949,3716538.008,4146432.121,4529943.962,4942527.405,5331558.081,5893459.881,6742240.858,7328749.191,8080818.894,8399218.674,8638336.573,8677343.925,8714927.221,8914844.878,9105856.195,9567004.712,10188163.62,11073173.46,11825735.9
Colombia,COL,50910.94993,52557.37692,56272.49281,52843.71007,59634.33733,68003.01373,67833.04847,75375.56662,69709.65305,61871.97285,63734.18059,59892.79993,52526.78403,60242.76293,63332.5506,62567.21401,77265.38618,80338.68462,80928.25228,85619.50575,87562.07407,88904.85235,94158.70497,102096.1188,102912.2588,103276.9694,101267.1417,97964.56134,101227.8955,101875.7846,105179.628,106234.4614
Congo,COG,1523.099261,1385.476885,899.1392311,-2788.21436,-342.8402005,1578.308798,1484.198811,2063.737849,917.9769545,871.1751132,912.3392151,833.2097061,761.619853,1039.054136,1115.20334,1128.365044,1306.470062,1518.320153,1793.081916,2059.939403,2173.091283,2355.814497,2696.949346,2896.240822,2826.438253,2808.72228,3858.016365,3325.105702,4064.1468,4363.305687,4595.224035,4692.157049
Costa Rica,CRI,5045.48536,5092.05321,5133.19218,2506.600027,5348.591368,7288.42843,7123.82681,7414.876296,7419.556807,7409.099712,7556.19679,7750.936913,8236.27178,8465.076567,8634.682071,8633.116638,9233.519726,10049.13511,10549.00998,9891.224124,10385.15048,11000.21795,11138.77829,11162.58397,11257.51981,12291.07759,12206.59554,12022.55312,12316.01727,12107.52608,12528.37436,12461.63023
Croatia,HRV,28275.78786,22241.42237,16917.68931,14018.49134,16184.1456,21171.70511,21715.62467,23117.01514,22976.88497,23236.29069,22192.26567,23681.42314,24792.17791,27595.14615,28082.36523,28630.64971,29790.0524,31623.23276,31147.67001,27849.61949,26776.4069,26215.56576,24395.72161,24072.03835,23152.23468,23412.02663,16635.38776,17048.6506,20026.26318,19790.35811,21174.03511,20695.0677
Cuba,CUB,42139.52825,35679.4763,34884.76123,28762.17701,33876.50014,30732.11844,30967.64644,28818.95457,28730.27461,29477.52505,30164.45964,29040.76696,28787.95707,28642.6566,28424.93366,29796.188,32188.5941,31751.14566,36198.23557,34237.23427,42068.99601,40324.3941,40413.69258,39320.69121,38822.99968,39241.06861,37209.60049,36966.78835,37080.84525,36468.47024,36339.92777,36640.30762
Cyprus,CYP,6983.089056,7661.700593,7548.516639,3873.235789,6114.052054,8731.03387,9052.33833,8924.725604,9620.411052,9865.813545,10211.51385,10154.79295,10396.79139,11060.6703,11686.47425,11872.20601,12421.8133,13143.07875,13738.68676,12709.34106,12534.72761,12247.15293,11850.61045,10792.08529,10960.78821,10945.11719,11243.48433,11164.53399,10041.80836,9441.305869,9487.159509,9454.912563
Czech Republic,CZE,103914.1866,87866.08872,90868.93592,86046.80785,86104.53573,97671.80259,103091.9162,95884.34283,96480.38027,91042.84531,95571.11192,96041.21437,98847.06435,101354.8837,100852.0184,99745.62965,99590.87265,100831.6922,101991.384,98074.26397,98017.44693,94951.40641,92860.37643,87890.0408,85220.02349,86906.26704,50757.38509,46679.31965,89302.84475,58942.5612,62858.73338,61803.11306
Cote dIvoire,CIV,6851.262375,6144.297317,4558.323609,1693.790791,2801.042287,6789.789118,7727.810333,7597.264276,7067.808375,6478.02828,6789.541341,7562.817981,7383.536182,5922.13823,7572.452316,7680.640315,6817.237646,6905.951716,6924.915357,6146.941601,7054.718833,7078.653938,8741.172913,9880.441875,10035.88079,10268.99563,14213.66163,15059.66984,17950.2357,18820.72144,19826.13886,20683.18446
North Korea,PRK,162519.1454,155750.6874,136496.7246,121728.4086,111196.7972,94904.69331,83290.50981,70236.39735,58279.06256,58295.47141,51649.35413,57822.52751,56923.90707,59659.87437,59820.01463,62750.10774,63772.44692,52219.90528,54919.33716,54634.3694,48280.074,33486.77359,34370.72045,25539.98215,26980.98317,26821.90308,46643.06999,49349.74102,50114.31261,49558.01504,49050.03502,49183.7974
DR Congo,COD,5804.265139,4812.98499,3595.543022,-794.4904929,1448.726969,4565.931931,4795.126461,4304.322451,4572.465762,3594.788056,3016.485616,3088.436484,3306.437128,3683.670494,3954.696598,4499.335673,4797.287325,5783.803615,6371.479732,5860.386739,6644.700292,7191.09055,7423.218559,9062.388554,10030.43679,8451.024534,8396.173356,8638.198452,12623.62061,12387.79631,12842.15592,12884.54028
Denmark,DNK,60481.95909,68462.01868,60916.7578,48372.73678,60199.59113,68355.8048,78013.02991,69826.54787,69950.85374,66656.8181,63021.34371,63747.82634,65904.95179,74362.61344,71285.63177,69853.41623,76049.92145,74745.57023,72722.22047,67974.93964,67698.91402,63464.12217,60105.73854,60955.35991,57459.51978,55713.8055,48784.18549,47500.19593,51009.18924,49205.29863,50585.1203,48071.03204
Djibouti,DJI,631.2998799,595.4657715,-130.219472,-3728.531342,-1833.380996,446.1639418,274.4932958,468.8837352,433.6859096,431.5555364,454.551928,493.4746499,532.8651448,565.7423715,561.1498056,579.8458227,592.410494,646.8141107,691.1887498,665.3055444,727.8635173,706.4978125,798.7467996,823.8391569,881.6690943,907.1385151,474.460225,476.9565242,1194.879782,1203.457182,1251.704947,1267.673849
Dominican Republic,DOM,10602.10467,11231.85565,12200.49218,10443.84228,13538.74078,18003.60657,17835.41435,17270.8242,16408.22915,16663.91368,18042.98859,17393.08114,17899.97053,16587.26261,13964.83769,14892.05423,15736.3805,16540.4927,16470.49646,15542.79445,16266.40418,18127.30413,18514.91654,17889.90114,17911.62741,17962.59685,17763.08381,17674.14838,19508.29757,19071.8183,19614.3805,19658.09564
Ecuador,ECU,15723.19793,15673.35824,19033.92387,15339.17496,10010.54341,21762.64168,22150.73742,18086.47234,21731.54037,19195.9312,17636.20797,21844.18579,24018.40561,26156.39032,27671.69582,28588.09376,27573.87686,29796.91736,31532.76655,34264.49303,34862.48995,35960.74315,35811.35155,40527.56237,42056.21349,41618.72862,39015.24401,38351.9471,42155.28249,41557.5343,43265.81107,42506.90052
Egypt,EGY,89656.04307,87820.79454,85942.84895,91751.08873,84736.64835,95666.17296,100641.7954,103775.2273,114108.8974,115437.9074,126850.6568,119138.0739,123144.1518,142098.2749,149801.928,170746.1201,184230.5301,194804.0132,206105.8828,211681.6024,211006.4016,226045.4274,224660.5309,219221.4434,209203.3018,212311.5543,241281.5857,241233.277,232847.4576,235248.2457,239564.9279,246074.4908
El Salvador,SLV,3976.596923,4589.170848,4111.144925,1268.853478,3879.698569,6760.328436,6143.697115,7107.145111,7881.832605,7820.32653,8296.347962,8381.854233,8402.464675,8865.313465,8840.887424,9008.833188,9675.448581,10164.90598,9910.646506,9409.286624,9650.948423,10103.1945,10355.30027,10013.25468,10164.59118,11463.7214,10758.37078,10667.74378,11159.0579,11296.49018,11920.51263,11868.94729
Eritrea,ERI,1012.923382,988.9161433,270.5981035,-2885.125962,-1354.922405,1071.02003,974.2508999,1045.215127,736.7128651,757.5945456,707.7729828,760.2129341,735.0708973,881.6605984,943.7533456,927.0930075,713.5195546,712.9123453,552.3592789,667.0707595,678.026064,729.628567,774.8092571,800.2636291,793.6019758,777.75676,481.5187809,469.2946454,1042.46415,1038.860292,1079.93325,1101.217651
Estonia,EST,37388.1449,29441.45663,15678.31653,7550.581201,11036.99019,13837.51956,14689.15626,14140.87316,13716.60037,12915.79246,12143.11138,12889.6964,13036.03331,15063.78298,15506.16403,15566.95795,15478.62384,18358.24573,16438.65421,13582.16638,15511.36151,15620.025,14903.78054,16042.60845,15173.69445,13616.24812,12708.94052,12999.94453,14337.40309,14105.35647,14654.50524,14089.6734
Ethiopia,ETH,3406.325087,3027.499748,2197.953663,-1738.820252,-133.3149097,734.7730849,809.4198835,826.8508611,744.3561599,771.6811163,515.4112916,785.6317746,812.2422359,903.2764167,1046.197458,1242.233645,1516.745916,1608.538542,1920.3067,1971.785422,2083.716921,2232.288283,2414.05814,2355.402392,2343.677973,2374.525153,11198.51794,11503.7139,10957.63953,11104.40689,11217.44946,11353.94782
Fiji,FJI,1303.40636,1159.181427,581.4610735,-2772.206374,-1050.34358,1137.930095,1008.019014,1100.874721,969.8017412,1027.283577,982.7661663,1223.30673,1091.884607,1340.624755,1710.536912,1520.295034,1748.473658,1688.253245,1611.489963,1341.955602,1725.991407,1681.632422,1583.985251,1846.098107,1945.131192,1986.697987,1484.909356,1469.25472,2020.990524,2163.665964,2297.272734,2293.432487
Finland,FIN,70605.05317,67500.97539,58953.24487,29742.78684,46196.93869,63538.17924,67447.13063,63788.98659,66346.14454,65486.11143,62721.75218,65487.99564,67791.57042,74845.02526,72147.89719,64931.82802,72202.28643,71642.76123,67226.55098,64461.60202,68230.5544,63467.92134,59635.41825,59664.26244,55517.70021,53907.9925,47380.94876,45893.15213,61656.22512,63574.56855,68080.66088,67821.90645
France,FRA,517267.594,544312.6172,528582.0483,469373.0598,493145.8223,532362.5604,544352.4238,530457.8777,553804.2133,550511.0081,548173.0806,548663.6933,551903.4449,575123.1383,584452.6394,593637.1511,588109.1177,585250.686,582109.5962,548302.3935,545639.9589,519552.0474,514463.6138,512547.7273,477588.046,487084.5826,397926.2968,410960.1881,476469.9642,460475.3331,493259.7307,465484.5919
French Polynesia,PYF,757.7016106,746.1168617,-21.9993067,-3531.381424,-1653.738133,671.5402207,485.8909967,628.6582282,624.8982911,622.4888191,601.4754789,695.8562375,772.8365588,896.0735888,910.543627,962.6459261,1018.159782,1070.931879,1110.645495,1043.670883,1072.411834,1103.439154,1022.933755,1031.29628,994.4758218,967.400019,276.4225622,213.3963984,675.2483086,664.1088885,693.8320663,694.8517566
